Date,Tweet,Stock Name,Company Name
2022-06-03 19:54:06+00:00,"Weeks Summary👨‍🚀
•
$NFLX 200 puts 1 to 2.8 (180%)🚀
$BA puts ☠️
•
Solid DD this week from $TSLA $AMD $SPY nailing some nice moves 📚
•
Will work on refining and increasing my alerts for next week🚀
•
All given for fre99 on $TWTR ❤️ https://t.co/Q2sEM8xzOE",BA,The Boeing Company
2022-06-03 12:24:23+00:00,How to read headlines 101.  $BA https://t.co/FOV0LZxqrP,BA,The Boeing Company
2022-06-01 13:25:07+00:00,"*GERMANY TO BUY 60 CH-47 CHINOOK HELICOPTERS FROM BOEING
$BA",BA,The Boeing Company
2022-05-31 19:46:06+00:00,$BA flat on the day https://t.co/YPI2DqRiM3,BA,The Boeing Company
2022-05-30 23:03:03+00:00,"$TSLA - Above 752 - Trade Idea 💡 -  June 3rd 800C

Closed at 759.63

TSLA moved from 620 to 759 last week

If TSLA can hold above 729 as a higher low we should see a move to 800, 821 next
-
$AAPL $AMD $AMZN $BA $FB $LCID $MSFT $NIO $MRNA $NVDA $ROKU $UPST $SPX $SPY $ZM $ES_F https://t.co/531OJMiF5s",BA,The Boeing Company
2022-05-25 22:50:24+00:00,"Boeing's Starliner is back on Earth!

The capsule lands in the New Mexico desert, concluding the crucial uncrewed OFT-2 mission as it gets closer to flying astronauts: https://t.co/1Dwm6kmm4n #OFT2 $BA https://t.co/fJI9noCNyP",BA,The Boeing Company
2022-05-25 22:07:31+00:00,"Boeing's Starliner completed the deorbit burn ""and is on its way home.""

Watch live: https://t.co/0GeBtB1hic #OFT2 $BA https://t.co/FVskOF309V",BA,The Boeing Company
2022-05-25 14:23:41+00:00,"On 06/17 I plan on putting $20,000 into 5 new long term positions (10 year hold)

⚡️ $RIVN 
✈️ $BA 
🇨🇳 $BABA 
🪙 $COIN 
📱 $AAPL 

Which stocks would you choose? 👇",BA,The Boeing Company
2022-05-24 00:13:57+00:00,"Turn Around Tuesday Triggers 📝 

✈️ $BA 130c &gt; 124.50 | 120p &lt; 123
⚡ $RIVN 30c &gt; 28.16 | 25p &lt; 26.80
⛽ $TSLA 705c &gt; 677 | 650p &lt; 666
👾 $AMD 98c &gt; 95.26 | 92p &lt; 94
🕹️ $NVDA 175c &gt; 169 | 163p &lt; 166.66
🐭 $DIS 108c &gt; 106 | 103p &lt; 105

Keep it Small, Use Stops, and Don't Chase https://t.co/LkG9HN2BlJ",BA,The Boeing Company
2022-05-23 23:25:42+00:00,"⚡️Watchlist for 5/24/22⚡️
$SPY 
📈Calls over 398
📉Puts Under 393
$NVDA
📈Calls Over  170.50
📉Puts Under 165.25
$TSLA 
📈Calls Over 668.50
📉Puts Under 650
$BA
📈Calls Over  125
📉Puts Under 120.19
💸LETS BANK!!! (I won't be too active this week because of finals📚Wish me luck🤣",BA,The Boeing Company
2022-05-22 23:03:03+00:00,"$TSLA - Above 675 - Trade Idea 💡 - May 27 750C

Closed at 663.90

TSLA dropped from 769 to 633 last week

TSLA needs back through 700 to test 729, 752 

Puts can work under 644 or 629
-
$AAPL $AMD $ARKK $AMZN $BA $ES_F $FB $LCID $MSFT $NFLX $NVDA $ROKU $SPX $SPY $GOOGL $C $QQQ https://t.co/M2nOQdtw0w",BA,The Boeing Company
2022-05-22 22:03:11+00:00,"5/23 Watchlist 🔮

$SQ 90c &gt; 85.20 | 75p &lt; 81.20
$PENN 34c &gt; 32.45 | 30p &lt; 31.30
$PFE 53.5c &gt; 52.70 | 51.5p &lt; 52.22
$BA 126c &gt; 122.75 | 115p &lt; 118.95
$COIN 75c &gt; 69.00 | 60p &lt; 63.10",BA,The Boeing Company
2022-05-19 23:01:39+00:00,$BA Boeing has launched the first test flight of its Starliner to the International Space Station,BA,The Boeing Company
2022-05-19 15:03:37+00:00,"Boeing $BA is set to launch an uncrewed Starliner capsule today, as it prepares to carry NASA astronauts.

Nearly 2½ years – and an extra ~$600 million – after OFT failed to reach the ISS, OFT-2 will attempt to complete the mission. What you should know: https://t.co/y12WOUqB0p",BA,The Boeing Company
2022-05-17 23:56:44+00:00,"5/18 Watchlist 🔮

$CHWY 30c &gt; 28.30 | 26p &lt; 27.15
$AMD 107c &gt; 103.90 | 98p &lt; 101.00
$COIN 75c &gt; 73.30 | 65p &lt; 66.90
$RBLX 34c &gt; 32.95 | 30p &lt; 30.85
$BA 135c &gt; 133.55 | 128p &lt; 130.00",BA,The Boeing Company
2022-05-16 23:48:49+00:00,"5/17 Watchlist 🔮

$BA 130c &gt; 126.25 | 118p &lt; 122.35
$AMD 97c &gt; 95.75 | 91p &lt; 93.10 
$BAC 36c &gt; 35.05 | 33.5p &lt; 34.50
$CVX 177.5c &gt; 174.40 | 170p &lt; 171.75
$CHWY 28c &gt; 27.15 | 25p &lt; 26.00",BA,The Boeing Company
2022-05-15 23:02:03+00:00,"$NVDA - Above 178 - Trade Idea 💡 - May 20 185C

Closed at 177.06

NVDA may be setting up for a multi day run if it holds a higher low above 171 this week

NVDA above 178 can test 183, 194, 200 
-
$AAPL $AMD $ARKK $AMZN $BA $ES_F $FB $LCID $MSFT $NVDA $LRCX $SPX $SPY $TSLA $QQQ https://t.co/m13LFumAzk",BA,The Boeing Company
2022-05-13 15:36:43+00:00,"He literally sold the local bottom

$BA &amp; $PYPL both +5% today",BA,The Boeing Company
2022-05-11 21:34:55+00:00,"NASA and Boeing are hosting a press conference on the upcoming Starliner uncrewed OFT-2 launch, scheduled for May 19, after completing the flight readiness review.

Thread: $BA https://t.co/GksTSmgFaS",BA,The Boeing Company
2022-05-09 17:03:45+00:00,"Industry consolidating and demand to increase. Nice combination

$LMT $NOC $BA $HII $RTX $GD https://t.co/U28PUBpaS5",BA,The Boeing Company
